match_date,team1,team2,winner,margin,ground,scorecard,team1_mahadasha_lord,team1_mahadasha_lord_dignity,team1_mahadasha_lord_score,team1_antardasha_lord,team1_antardasha_lord_dignity,team1_antardasha_lord_score,team1_agreement_classification,team1_moon_rashi,team1_moon_nakshatra,team2_mahadasha_lord,team2_mahadasha_lord_dignity,team2_mahadasha_lord_score,team2_antardasha_lord,team2_antardasha_lord_dignity,team2_antardasha_lord_score,team2_agreement_classification,team2_moon_rashi,team2_moon_nakshatra
2017-02-01,South Africa,Sri Lanka,South Africa,121 runs,Durban,ODI # 3830,moon,NEUTRAL,1.5,rahu,N/A,0.5,Tradition-specific,Kumbha,Dhanishta,mars,NEUTRAL,-0.5,rahu,N/A,0.5,Tradition-specific,Vrischika,Anuradha
2017-02-04,South Africa,Sri Lanka,South Africa,7 wickets,Johannesburg,ODI # 3831,moon,NEUTRAL,1.5,rahu,N/A,0.5,Tradition-specific,Kumbha,Dhanishta,mars,NEUTRAL,-0.5,rahu,N/A,0.5,Tradition-specific,Vrischika,Anuradha
2017-02-05,New Zealand,Australia,New Zealand,24 runs,Hamilton,ODI # 3832,venus,DEBILITATED,-0.5,moon,NEUTRAL,-0.5,Contradictory,Mesha,Bharani,venus,NEUTRAL,0.5,mars,NEUTRAL,-1.5,Insufficient,Mesha,Bharani
2017-02-07,South Africa,Sri Lanka,South Africa,40 runs,Cape Town,ODI # 3833,moon,NEUTRAL,1.5,rahu,N/A,0.5,Tradition-specific,Kumbha,Dhanishta,mars,NEUTRAL,-0.5,rahu,N/A,0.5,Tradition-specific,Vrischika,Anuradha
2017-02-10,South Africa,Sri Lanka,South Africa,88 runs,Centurion,ODI # 3834,moon,NEUTRAL,1.5,rahu,N/A,0.5,Tradition-specific,Kumbha,Dhanishta,mars,NEUTRAL,-0.5,rahu,N/A,0.5,Tradition-specific,Vrischika,Anuradha
2017-02-16,Zimbabwe,Afghanistan,Afghanistan,12 runs,Harare,ODI # 3835,jupiter,NEUTRAL,-0.5,saturn,NEUTRAL,-1.5,Strong,Vrishabha,Rohini,venus,DEBILITATED,-0.5,venus,DEBILITATED,-0.5,Strong,Vrishabha,Krittika
2017-02-19,New Zealand,South Africa,South Africa,4 wickets,Hamilton,ODI # 3836,venus,DEBILITATED,-0.5,moon,NEUTRAL,-0.5,Contradictory,Mesha,Bharani,moon,NEUTRAL,1.5,rahu,N/A,0.5,Tradition-specific,Kumbha,Dhanishta
2017-02-19,Zimbabwe,Afghanistan,Afghanistan,54 runs,Harare,ODI # 3837,jupiter,NEUTRAL,-0.5,saturn,NEUTRAL,-1.5,Strong,Vrishabha,Rohini,venus,DEBILITATED,-0.5,venus,DEBILITATED,-0.5,Strong,Vrishabha,Krittika
2017-02-21,Zimbabwe,Afghanistan,Zimbabwe,3 runs,Harare,ODI # 3838,jupiter,NEUTRAL,-0.5,saturn,NEUTRAL,-1.5,Strong,Vrishabha,Rohini,venus,DEBILITATED,-0.5,venus,DEBILITATED,-0.5,Strong,Vrishabha,Krittika
2017-02-22,New Zealand,South Africa,New Zealand,6 runs,Christchurch,ODI # 3839,venus,DEBILITATED,-0.5,moon,NEUTRAL,-0.5,Contradictory,Mesha,Bharani,moon,NEUTRAL,1.5,rahu,N/A,0.5,Tradition-specific,Kumbha,Dhanishta
2017-02-24,Zimbabwe,Afghanistan,Zimbabwe,7 wickets,Harare,ODI # 3840,jupiter,NEUTRAL,-0.5,saturn,NEUTRAL,-1.5,Strong,Vrishabha,Rohini,venus,DEBILITATED,-0.5,venus,DEBILITATED,-0.5,Strong,Vrishabha,Krittika
2017-02-25,New Zealand,South Africa,South Africa,159 runs,Wellington,ODI # 3841,venus,DEBILITATED,-0.5,moon,NEUTRAL,-0.5,Contradictory,Mesha,Bharani,moon,NEUTRAL,1.5,rahu,N/A,0.5,Tradition-specific,Kumbha,Dhanishta
2017-02-26,Zimbabwe,Afghanistan,Afghanistan,106 runs,Harare,ODI # 3842,jupiter,NEUTRAL,-0.5,saturn,NEUTRAL,-1.5,Strong,Vrishabha,Rohini,venus,DEBILITATED,-0.5,venus,DEBILITATED,-0.5,Strong,Vrishabha,Krittika
2017-03-01,New Zealand,South Africa,New Zealand,7 wickets,Hamilton,ODI # 3843,venus,DEBILITATED,-0.5,moon,NEUTRAL,-0.5,Contradictory,Mesha,Bharani,moon,NEUTRAL,1.5,rahu,N/A,0.5,Tradition-specific,Kumbha,Dhanishta
2017-03-02,U.A.E.,Ireland,Ireland,85 runs,ICCA Dubai,ODI # 3844,jupiter,NEUTRAL,1.5,venus,NEUTRAL,1.5,Strong,Vrishabha,Krittika,venus,NEUTRAL,1.5,ketu,N/A,-1.5,Tradition-specific,Mithuna,Ardra
2017-03-04,New Zealand,South Africa,South Africa,6 wickets,Auckland,ODI # 3846,venus,DEBILITATED,-0.5,moon,NEUTRAL,-0.5,Contradictory,Mesha,Bharani,moon,NEUTRAL,1.5,rahu,N/A,0.5,Tradition-specific,Kumbha,Dhanishta
2017-03-04,U.A.E.,Ireland,Ireland,8 wickets,ICCA Dubai,ODI # 3847,jupiter,NEUTRAL,1.5,venus,NEUTRAL,1.5,Strong,Vrishabha,Krittika,venus,NEUTRAL,1.5,ketu,N/A,-1.5,Tradition-specific,Mithuna,Ardra
2017-03-15,Afghanistan,Ireland,Afghanistan,30 runs,Greater Noida,ODI # 3850,venus,DEBILITATED,-0.5,venus,DEBILITATED,-0.5,Strong,Vrishabha,Krittika,venus,NEUTRAL,1.5,ketu,N/A,-1.5,Tradition-specific,Mithuna,Ardra
2017-03-17,Afghanistan,Ireland,Afghanistan,34 runs,Greater Noida,ODI # 3851,venus,DEBILITATED,-0.5,venus,DEBILITATED,-0.5,Strong,Vrishabha,Krittika,venus,NEUTRAL,1.5,ketu,N/A,-1.5,Tradition-specific,Mithuna,Ardra
2017-03-19,Afghanistan,Ireland,Ireland,6 wickets,Greater Noida,ODI # 3852,venus,DEBILITATED,-0.5,venus,DEBILITATED,-0.5,Strong,Vrishabha,Krittika,venus,NEUTRAL,1.5,ketu,N/A,-1.5,Tradition-specific,Mithuna,Ardra
2017-03-22,Afghanistan,Ireland,Ireland,3 wickets,Greater Noida,ODI # 3853,venus,DEBILITATED,-0.5,venus,DEBILITATED,-0.5,Strong,Vrishabha,Krittika,venus,NEUTRAL,1.5,ketu,N/A,-1.5,Tradition-specific,Mithuna,Ardra
